no,VOC,pred,pred_수정
957,"병원시설 환경 등 전반적으로 청결해서 너무 좋았습니다.
제일 베스트는 최고의 의료진분들에게 치료를 받고 케어를 받게되어 정말 믿음이 갔습니다. 긴 입원기간 동안 52병동, 81병동 모든 의료진 선생님들에게 다시 한 번 더 감사드립니다. 덕분에 예쁜아기와 건강하게 퇴원하였습니다^^ 다시 병원을 선택할 일이 있더라도 계명대 동산병원을 찾을 거 같네요. 여러모로 감사드립니다. ","['의사_긍정','시설/환경_긍정','간호사_긍정']",
959,다들 친절하고 좋으십니다. 예쁜 간호사들도많았구요.,['간호사_긍정'],
963,"간호사, 조무사, 의사 모든 분들이 꼼꼼하고 친절하게 대하려고 노력하는 점이 보였습니다.
치료 과정에서 제 의사를 무시하지 않고 추가 검사를 봐주거나 다른 협진도 바로바로 해주시는 점에서 크게 만족했습니다.",['간호사_긍정'],"['간호사_긍정','의사_긍정']"
965,빠른시간내에 회복될수있게 처치를 해주워서 좋았다,['진료경험(진료/투약/검사/회진)_긍정'],
966,깨끗하다.,['시설/환경_긍정'],
969,"신속하게 검사하고 치료밭을 수 있었습니다
식중독으로 내원했는데 오한으로 덮을 수 있는 이불도 주시고 쾌적한 환경입니다","['시설/환경_긍정','병원시스템_긍정']","['시설/환경_긍정','진료경험(진료/투약/검사/회진)_긍정']"
977,진료부터 시술까지 신속하게 이루어졌고 최근에는 앱으로 진료비 결재도 가능해져서 편리한 점,"['진료경험(진료/투약/검사/회진)_긍정','병원시스템_긍정']",
979,"응급실에서 침대에서 누워있는 동안 한기가 심해 이불을 간호사에게 요구하였습니다 그래도 계속 추위가 가시지 않아 이불을 하나 더 요청을 하니 한 환자당 이불은 하나 이며 다른 환자도 사용을 한다는 이유였습니다.
당시 무더위로 다른 두 침대의 환자는 이불을 사용하지 않았고 다른 환자도 없었습니다 
융통성 있게 다른 환자도 붐비지 않고 한 환자의 몸 상태를 생각했다면 병원 규정만 이야기 하는 것이 과연 옳은 환자를 대하는 방법일까요? 이게 환자를 위하는 차병원의 서비스인가요? 너무 추워서 2번 요청하였으나 같은 이유로 거절 당했습니다. 이후 다른 간호사들에게 겨우 사정하여 담요를 받았습니다. 환자가 많고 다른 환자들도 이불이 필요로 하다면 규정은 이해합니다 
그러니 무더위에 이불을 덮지 않았던 소수의 환자들 사이에서 규정만 이야기 하는 간호사에게 답답함과 실망스러움은 큽니다. 간호사의 가족이였다면 이렇게 외면 하실 건가요? 이런 서비스에 응금실 추가비용은 너무 아깝습니다. ","['시설/환경_부정','간호사_부정']",
991,환자에 대한 간호가 좋았습니다. 수술에 대한 설명도 잘하고 좋았습니다,"['진료경험(진료/투약/검사/회진)_긍정','간호사_긍정']",
992,몇몇 간호사선생님들이 친절하셔서 좋았습니다,['간호사_긍정'],
996,"1  집에서 가까운거리
2의료진들에 친절하고
적적한 치료 ","['의사_긍정','시설/환경_긍정','간호사_긍정']",
997,제왕절개 후 입원기간동안 간호사 선생님들 너무 친절하시고 첫 출산이라 처음 대면하는 상황이 많았는데 병동내에 있는 선생님들께서 친절하게 설명해 주셔서 감사했습니다. 퇴원 후 에어팟을 분실했었는데 끝까지 찾아주시는 모습에 감동했습니다! 긴 시간 내주셔서 에어팟 찾아주신 모든 선생님 분들께 감사인사 다시 한번 드립니다^^!! 정말 감사했습니다! 건강하시고 행복하세요 ~~*^^*,"['간호사_긍정','직원_긍정']",
999,"접수 수납 대기 시간이 너무너무 길어요. 어떻게 주말 응급실에서 직원 한분이 접수 수납까지 다 하는지
시스템을 바꿀 필요가 있어요",['대기시간_부정'],
1001,친절이진료해주시고모든선생님게감사드림니다,['의사_긍정'],['진료경험(진료/투약/검사/회진)_긍정']
1009,의사선생님과 간호선생님이 항상 친절하게 대해주셨다,"['의사_긍정','간호사_긍정']",
1011,간호사선생님들의 배려는 참좋았습니다.<BR/>그런데<BR/>옆 침대분때문에 좀 힘들었습니다<BR/>너무 심한욕설을 하셔서<BR/>무서웠지만 간호사님들에게 말씀드리기에는. .간호사님들에게는 또 친절하시더라구요. .ㅎ<BR/>그리고4층 입욕실인가 목욕하는곳에 작은벌레들이 너무많았습니다. 비가와서 일까요? 좀더 청결했으면 합니다.<BR/>4층산부인과간호사선생님들감사했습니다,"['직원_부정','간호사_긍정']","['시설/환경_부정','간호사_긍정']"
1012,친절하고 신속한 진료,['진료경험(진료/투약/검사/회진)_긍정'],
1016,소아응급실이 있어서 너무 좋아요,['병원시스템_긍정'],
1018,의로진 의 친절함,['의사_긍정'],
1024,"구급차로와서 신속하게 처치받아 좋았습니다
평소에 아이가열이날경우 많이기다려아한다고 들었는데 소아응급실인만큼 아이들이 신속하게 처치받을수있도록부탁드립니다",[],['진료경험(진료/투약/검사/회진)_긍정']
1030,편안하게 이용할수있어 좋았다,['시설/환경_긍정'],
1032,무었이든  다 좋았다,['진료경험(진료/투약/검사/회진)_긍정'],
1033,"모든 의사 간호사 분들이 너무 친절하시고
정확히 가르쳐주었습니다","['의사_긍정','간호사_긍정']",
1043,담당 간호선생님들이 너무 친절하고 고생해주셔서 편하게 입원할 수 있었습니다,['간호사_긍정'],
1045,안과 검사실 직원의 불친절함이 좋았던 점을 모두 상쇄시킴,['직원_부정'],
1047,차병원에서 수술하고 입원까지의 과정이 너무너무 좋았고 간호사 언니들은 나이팅게일의 모습을 보였으며 조무사선생님들도 간호병동에 걸맞게 저희 어머니를 대신하여 너무 감사했습니다! 담당교수님또한 초특급 친절과 실력을 겸비하시어 건강한 몸을 만들어주셨고 미혼여성인 저는 결혼을 예정하고있으며 출산또한 여기 차병원에서 할것을 굳게 맹세합니당 ㅠㅠ지인들도 무조건 추천할거에여ㅜㅡ,"['의사_긍정','간호사_긍정']",
1052,119구급대원들이 간호사 의사분들에 비해 너무 친절하셨습니다 ,"['간호사_긍정','직원_긍정']",['직원_긍정']
1054,"대부분의 간호사분들은 아주 친절하고 사려깊어서 좋았는데 한 두명의 간호사들의 불친절과 버릇없고 예의 없는 태도에 불쾌감이 들었음. 
그외엔 아기를 유모차에 태우고 자유롭게 병원 내 시설을 사용하고 다닐수있어서 좋았고 위생이나 안전에 대하여 잘 되어있었음. 탕비실이 젖병 소독기가 있어서 아주 유용하게 안심하며 잘 사용할수있어 좋았음. ","['시설/환경_긍정','간호사_긍정']","['시설/환경_긍정','간호사_긍정','간호사_부정']"
1056,교수님 넘 좋으십니다,['의사_긍정'],
1064,아직ㆍ,['병원시스템_부정'],[]
1068,"병원 시설 환경, 너무 친절하신 홍다경 선생님과 간호사님, 3층? 2층? 안내 데스크 요원 및 접수 데스크분들 다 친절하셨어요. 임신하면 차병원 방문 의향 100% 입니다. 대기 시간만 잘 조율 부탁드립니당!","['의사_긍정','시설/환경_긍정','간호사_긍정','직원_긍정']",
1070,"매우 친절하고    소통이 잘되었습니다
감사합니다",['진료경험(진료/투약/검사/회진)_긍정'],
1072,"그냥 모든 분들이 친절하셨고 양보나 배려가 기본인 사람들로만 구성되어있다고 느꼈습니다. 시설도 깨끗하고 체계가 잘 되어있다는 생각이 들었습니다! ! 
이비인후과 303병동에 계신 분들 다 친절하시고 좋았습니다!","['시설/환경_긍정','병원시스템_긍정','직원_긍정']",
1074,대체로 만족함,['시설/환경_긍정'],['진료경험(진료/투약/검사/회진)_긍정']
1076,모든게 불만족함,['진료경험(진료/투약/검사/회진)_부정'],['진료경험(진료/투약/검사/회진)_부정']
1087,"젊은 여자의사양반들 너무 불친절
그리고 환자들이 응급으로 들어와서 아프니까 여러번 부르는건데 책상에 앉아 있으면서 다들 들은척도 안하고 몇번씩 불러야 한번 들은척하고
요즈음 성모 응급실 이상해졌군요",['의사_부정'],
1091,"코로나 상황에서 안전한 입원생활이 되도록 여러모로 애써주셔서 감사했습니다
",['진료경험(진료/투약/검사/회진)_긍정'],
1096,"1층 홀에 미술관을 비롯하여 곳곳에 미술품이 전시되어 있어서 삭막한 공간에 생기와 안정감을 불어넣어줘서 좋고, 깨끗한 시설과 여유있는 공간이 상쾌한 느낌을 줌으로써 내원한 환자에게 긍정적 감정을 유도하는 분위기가 좋습니다.",['시설/환경_긍정'],
1102,너무잘해서시정할사항이없믐,['병원시스템_부정'],[]
1104,친절하고  모든것이 믿음이 갔습ㄴ다,['진료경험(진료/투약/검사/회진)_긍정'],
1106,"친절함은 좋았고

2등실 화장실 없음이  매우불편하였습니다","['시설/환경_부정','진료경험(진료/투약/검사/회진)_긍정']",
1108,1인실 사용하는 목적은 화장실 샤워실도 따로 사용하는것도 포함인데 화장실은 2병실 공용이고 샤워는 아예 못하고 층에 있는 공용샤워실을 사용하라고 해서 이해가 안됨,['시설/환경_부정'],
1109,아직잘모름,[],
1112,지금도잘하고잘돼어있지만~환자들의편리하고질좋은병원이되도록더힘써주었음합니다,['의사_부정'],['진료경험(진료/투약/검사/회진)_긍정']
1116,지하철이용편리,['시설/환경_긍정'],
1120,진단서등 필요한 서류는 빨리 발급해 주셔서 감사드립니다 ,['병원시스템_긍정'],
1122,"새벽에 내비찍고 갔는데 증상이 중증이아니라고 약줄것이 없다고했지만 다응 날 다른 병원가서 아무런조치도 안받고 9만원내고 열 다시 올ㅇ랐다고 하니 그의사가 웃었다 
중증이 아니라서가 아니라 아이가 가지고있는 다른증상을 잘 모르겠다며 악 처방시 본인의 피해를 무서워해서 환자를 돌려보낸꼴로ㅈ밖에 볼수없었다",['의사_부정'],
1133,"가끔 병원 갈때마다
간호원분들이 친절하게 대해주셔서
항상 기분좋게 다녀오네요
그리고 이번에 병원내에서 길 잃고 헤매이고 있을때
신동욱 교수님께서 친절하게 안내도 해주셔서 무리없이
진료 받을수 있게 해주어 대단히 감사드림에 머리숙에
감사드립니다..~~^^","['의사_긍정','간호사_긍정']",
1136,간호사분들 친절하셨고 시설이 깨끗했어요,"['시설/환경_긍정','간호사_긍정']",
1162,양석정교수님 항상 감사합니다,['의사_긍정'],
1165,"1 가깝다
2의료진에게 믿음이있다","['의사_긍정','시설/환경_긍정']",
1169,의료진이 친절하고 최대한 도움을 주시려고 했습니다. ,"['의사_긍정','간호사_긍정']",
1171,"오전 9시 도착하여 의사 면담하기까지 
두시간을 기다렸음",['대기시간_부정'],
1175,"집 가까이 이렇게 쾌적하고 신속하게 처치, 치료가 되는 병원이 있으니 정말 좋아요 응급실 내 여자간호사분 성함을 모르겠는데 정말 친절하셔서 기억에 남네요 ","['시설/환경_긍정','간호사_긍정']",
1179,환경이 깨끗함,['시설/환경_긍정'],
1187,넓고쾌적하고좋았습니다,['시설/환경_긍정'],
1192,"무책임 
다른병원에서 수술했으니  여기서는 해줄게 없다하심
고열로 갔는데 해열제 주사도 제가 놔달라고 부탁하니
못이기는척 해줌",['진료경험(진료/투약/검사/회진)_부정'],
1197,편의시설이 잘되어있어서 좋았다,['시설/환경_긍정'],
1199,간호사선생님들 너무 좋았어요 감사합니다,['간호사_긍정'],
1202,"김기봉교수님,김민석교수님 너무 감사드립니다.",['의사_긍정'],
1206,"좋은환경
현대적인장비
실력있는믜사
친절한서비스에
항상최고로생각하고있습니다
수고하세요","['시설/환경_긍정','진료경험(진료/투약/검사/회진)_긍정']","['시설/환경_긍정','진료경험(진료/투약/검사/회진)_긍정','의사_긍정']"
